grid_m,normalized_grid,T_K,X_NH2,baseline,baseline_plus_OH
0.00353125,0.353125,1088.7324926937745,0.00027764935598951487,0.00015308503976517305,0.0002442759558722147
0.0035390625,0.35390625,1097.83150782255,0.00029176184644079297,0.00017049503732296286,0.0002591505993827974
0.003546875,0.35468749999999993,1106.9240679584689,0.0003062257022193554,0.00018863739096454027,0.00027452042034174497
0.0035546875,0.35546874999999994,1116.0087521479022,0.0003210235693807713,0.00020748027706556487,0.00029036242472010014
0.0035625,0.35625,1125.084142072096,0.00033613649688173027,0.00022698848240135518,0.00030665089689714184
0.0035703125,0.35703125,1134.1488223635695,0.0003515440076148132,0.00024712350944447003,0.0003233576022983384
0.003578125,0.3578125,1143.201381040705,0.0003672241783360093,0.0002678437527322355,0.00034045200536181514
0.0035859375,0.35859375,1152.2404100686904,0.0003831537275174088,0.0002891047314350333,0.00035790149644493235
0.00359375,0.35937499999999994,1161.2645060532984,0.00039930811012770087,0.00031085935722790977,0.0003756716223274221
0.0036015625,0.36015625,1170.2722710722862,0.0004156616183357622,0.00033305821990832127,0.0003937263160087912
0.003609375,0.3609375,1179.262313647418,0.00043218748714815537,0.00035564987853510353,0.0004120281224416289
0.0036171875,0.36171875,1188.2332498583455,0.00044885800402883104,0.0003785811501549293,0.0004305384177617853
0.003625,0.3625,1197.1837045977502,0.00046564462160791795,0.0004017973907279697,0.0004492176203482908
0.0036328125,0.36328125,1206.1123129653108,0.000482518072663371,0.0004252427646223978,0.0004680253926824958
0.003640625,0.3640625,1215.0177217961302,0.0004994484866521992,0.00044886050027237803,0.0004869208338883373
0.0036484375,0.36484375,1223.898591317269,0.0005164055071725036,0.0004725931309109245,0.0005058626631264509
0.00365625,0.365625,1232.753596923895,0.0005333584098497141,0.0004963827203087551,0.0005248093946496926
0.0036640625,0.36640625,1241.5814310642968,0.0005502762202547211,0.0005201710744957131,0.000543719505598529
0.003671875,0.3671875,1250.3808052205761,0.0005671278315725081,0.0005438999413131985,0.0005625515978314498
0.0036796875,0.36796875,1259.1504519692635,0.000583882121841784,0.0005675112004268694,0.0005812645551866528
0.0036875,0.36875,1267.88912710342,0.0006005080706727158,0.0005909470469566692,0.0005998176975566961
0.0036953125,0.36953125,1276.5956117950916,0.0006169748754160847,0.0006141501722414876,0.0006181709330524452
0.003703125,0.3703125,1285.268714774404,0.0006332520667975741,0.0006370639453397201,0.0006362849093616731
0.0037109375,0.37109375,1293.9072744992518,0.0006493096240424415,0.000659632598690253,0.0006541211651281267
0.00371875,0.371875,1302.5101612877072,0.0006651180894951334,0.0006818014209138931,0.0006716422818980362
0.0037265625,0.37265625,1311.0762793840581,0.0006806486826853645,0.000703516959042032,0.000688812036786941
0.003734375,0.3734375,1319.6045689290768,0.0006958734137077615,0.0007247272315548613,0.0007055955556220041
0.0037421875,0.37421875,1328.0940078057838,0.0007107651956696108,0.0007453819525492625,0.0007219594658611678
0.00375,0.375,1336.5436133337496,0.0007252979558256305,0.0007654327662026636,0.0007378720481322665
0.0037578125,0.37578125,1344.9524437878395,0.0007394467448676555,0.0007848334895253126,0.0007533033847672933
0.003765625,0.3765625,1353.3195997211901,0.0007531878436788501,0.0008035403602734187,0.0007682255032894003
0.0037734375,0.37734375,1361.6442250769,0.000766498866706857,0.000821512285896031,0.0007826125124502228
0.00378125,0.378125,1369.9255080781786,0.0007793588609687375,0.0008387110885678912,0.000796440728162461
0.0037890625,0.37890625,1378.1626818921775,0.0007917483995828402,0.0008551017407636469,0.00080968878655103
0.003796875,0.3796875,1386.3550250681292,0.0008036496686395328,0.0008706525854861787,0.0008223377413784624
0.0038046875,0.38046875,1394.5018617553794,0.0008150465461821135,0.0008853355351891519,0.0008343711433038849
0.0038125,0.38125,1402.6025617111727,0.0008259246720790261,0.0008991262436328387,0.0008457750988149196
0.0038203125,0.38203125,1410.656540111425,0.0008362715076326457,0.0009120042453712052,0.000856538307243408
0.003828125,0.3828125,1418.663257180095,0.0008460763838907308,0.0009239530582650477,0.000866652075073964
0.0038359375,0.38359375,1426.6222176541007,0.000855330537800759,0.0009349602453172724,0.0008761103078920924
0.00384375,0.384375,1434.5329701010662,0.0008640271355655723,0.0009450174331922688,0.0008849094820839267
0.0038515625,0.38515625,1442.3951061065345,0.000872161282798259,0.0009541202859636377,0.0008930486014933418
0.003859375,0.3859375,1450.2082593456867,0.0008797300212864109,0.0009622684338817306,0.0009005291502909653
0.0038671875,0.38671875,1457.9721045518515,0.0008867323122529867,0.0009694653582089013,0.0009073550660019672
