row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
67,0.0032109375,0.32109375,727.9556936458183,9.628659681943672e-06,7.239327805224918e-06,True,The solver successfully reached the end of the integration interval.
68,0.0032187500000000003,0.321875,736.076821360395,1.0593908894972876e-05,7.959772548823375e-06,True,The solver successfully reached the end of the integration interval.
69,0.0032265625000000003,0.32265625000000003,744.2497542819627,1.1644011784411463e-05,8.743011021681185e-06,True,The solver successfully reached the end of the integration interval.
70,0.0032343750000000003,0.32343750000000004,752.4732166673805,1.2784767652067438e-05,9.593276817862474e-06,True,The solver successfully reached the end of the integration interval.
71,0.0032421875000000003,0.32421875,760.7459206429068,1.402238092785259e-05,1.0515096671267488e-05,True,The solver successfully reached the end of the integration interval.
72,0.0032500000000000003,0.325,769.0665657993327,1.536346919042992e-05,1.1513295380414389e-05,True,The solver successfully reached the end of the integration interval.
73,0.0032578125000000003,0.32578125,777.4338389077734,1.6815093509539404e-05,1.2593017470518474e-05,True,The solver successfully reached the end of the integration interval.
74,0.0032656250000000003,0.32656250000000003,785.8464137660501,1.8384809014940657e-05,1.3759763965855195e-05,True,The solver successfully reached the end of the integration interval.
75,0.0032734375000000003,0.32734375000000004,794.3029511818116,2.0080730823240372e-05,1.5019440540165662e-05,True,The solver successfully reached the end of the integration interval.
76,0.0032812500000000003,0.328125,802.8020990942263,2.1911611329862716e-05,1.637841394800737e-05,True,The solver successfully reached the end of the integration interval.
77,0.0032890625000000003,0.32890625,811.3424928318758,2.3886925446417983e-05,1.7843574081581194e-05,True,The solver successfully reached the end of the integration interval.
78,0.0032968750000000003,0.3296875,819.9227555001593,2.6016959537235708e-05,1.9422398435015932e-05,True,The solver successfully reached the end of the integration interval.
79,0.0033046875000000003,0.33046875000000003,828.5414984876683,2.8312899287381503e-05,2.112301540598726e-05,True,The solver successfully reached the end of the integration interval.
80,0.0033125000000000003,0.33125000000000004,837.197322077384,3.078691215380415e-05,2.2954263162457735e-05,True,The solver successfully reached the end of the integration interval.
81,0.0033203125000000003,0.3320312500000001,845.8888161457558,3.3452220142536874e-05,2.4925740880198804e-05,True,The solver successfully reached the end of the integration interval.
82,0.0033281250000000004,0.3328125,854.6145609303903,3.6323157977715535e-05,2.7047848738174526e-05,True,The solver successfully reached the end of the integration interval.
83,0.0033359375000000004,0.33359375,863.3731278457617,3.9415211255166295e-05,2.93318127990246e-05,True,The solver successfully reached the end of the integration interval.
84,0.0033437500000000004,0.33437500000000003,872.1630803255828,4.274502948544955e-05,3.1789691178033546e-05,True,The solver successfully reached the end of the integration interval.
85,0.0033515625000000004,0.33515625000000004,880.9829746706874,4.63304097583195e-05,3.443435855678016e-05,True,The solver successfully reached the end of the integration interval.
86,0.0033593750000000004,0.3359375000000001,889.8313608819765,5.0190247704373186e-05,3.727946687633244e-05,True,The solver successfully reached the end of the integration interval.
87,0.0033671875000000004,0.33671875,898.7067834594608,5.43444534925087e-05,4.0339380932850945e-05,True,The solver successfully reached the end of the integration interval.
