row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
66,0.003203125,0.3203125,719.8876352627533,2.8516634294322516e-14,2.146616155769223e-14,True,The solver successfully reached the end of the integration interval.
67,0.0032109375,0.32109375,727.9556936458183,4.409143667698434e-14,3.316765119921995e-14,True,The solver successfully reached the end of the integration interval.
68,0.0032187500000000003,0.321875,736.076821360395,6.83200340295255e-14,5.135877611461588e-14,True,The solver successfully reached the end of the integration interval.
69,0.0032265625000000003,0.32265625000000003,744.2497542819627,1.061569689271423e-13,7.97485862372945e-14,True,The solver successfully reached the end of the integration interval.
70,0.0032343750000000003,0.32343750000000004,752.4732166673805,1.6551692692451771e-13,1.242586228240471e-13,True,The solver successfully reached the end of the integration interval.
71,0.0032421875000000003,0.32421875,760.7459206429068,2.5916844950315224e-13,1.9443642058595464e-13,True,The solver successfully reached the end of the integration interval.
72,0.0032500000000000003,0.325,769.0665657993327,4.0796008566895065e-13,3.058624982196189e-13,True,The solver successfully reached the end of the integration interval.
73,0.0032578125000000003,0.32578125,777.4338389077734,6.463676921544738e-13,4.842871541928879e-13,True,The solver successfully reached the end of the integration interval.
74,0.0032656250000000003,0.32656250000000003,785.8464137660501,1.032672355410175e-12,7.732185572562388e-13,True,The solver successfully reached the end of the integration interval.
75,0.0032734375000000003,0.32734375000000004,794.3029511818116,1.6675606746781603e-12,1.2477839701898987e-12,True,The solver successfully reached the end of the integration interval.
76,0.0032812500000000003,0.328125,802.8020990942263,2.7304588492983455e-12,2.0417992375057717e-12,True,The solver successfully reached the end of the integration interval.
77,0.0032890625000000003,0.32890625,811.3424928318758,4.553361748139833e-12,3.402755755701228e-12,True,The solver successfully reached the end of the integration interval.
78,0.0032968750000000003,0.3296875,819.9227555001593,7.778953750878007e-12,5.809551156320344e-12,True,The solver successfully reached the end of the integration interval.
