Y_H,Y_H2,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_CO,Y_CO2,Y_HE,Y_HCO,Y_OHEX,Y_N,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_HNO,Y_H2NO,Y_NNH,Y_NH2,Y_NH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_HONO,Y_HNOH,Y_HNO2,Y_HONO2,Y_NO3,Y_HON,Y_N2,Y_AR,MF,CEM,HRR,T
3.739016547711339e-09,5.35036848490184e-05,8.46344831114727e-07,0.21910072586503,7.04309604534273e-05,0.0270157711623026,3.345122049122097e-06,0.0001313761426922762,0.0,0.0,0.0,0.0,5.1881129011567925e-23,2.3248556379838074e-08,1.7370897483599985e-05,1.2000734639110618e-05,0.02731554323828175,0.0004395630964517,9.182554559684554e-07,4.3229764153669285e-05,9.993116604026758e-11,4.155739636690035e-05,3.35416551946842e-07,0.0001222987688930247,2.8360993963074854e-05,3.6987625337943102e-06,5.109948517945596e-10,7.365759983204882e-06,3.1757956573601826e-10,5.221564334240168e-13,0.0009608108831773879,1.8037568666763673e-06,1.864917752070541e-06,0.753320005230913,0.0,0.0036235765822375285,-5.481077457267163,29349473.370438956,482.838273805636
1.0146751361525919e-08,4.78599054963889e-05,1.4425826796982223e-06,0.213842096664604,6.851730996305511e-05,0.0317596658953073,1.721503977488264e-06,7.442839007369325e-05,0.0,0.0,0.0,0.0,3.5947621163072976e-22,2.70321740091535e-08,1.9579351203410663e-05,4.239745337966925e-06,9.942026449863486e-05,0.0004044879007591,1.0562957116890367e-06,1.690051629060776e-05,1.347093258798402e-10,5.8662023688208325e-05,4.951181100013704e-07,0.00014426795241207957,3.306310328404845e-05,5.635773705074076e-06,9.181216383934126e-10,5.6496821408156295e-06,6.458912717915615e-10,2.354504078827782e-13,0.00011827520944219146,1.99672203177844e-07,9.538001356841323e-09,0.7538773723238701,0.0,0.010206273225522575,-5.4918182455184965,28224998.48236834,534.148089326359
3.170840297258466e-08,5.3693599405841e-05,1.6224681733844149e-06,0.207587788533471,7.05964829158342e-05,0.0372853395483109,1.1538455737174806e-06,4.2154358179265236e-05,0.0,0.0,0.0,0.0,2.097363863309863e-21,3.0600886885476584e-08,2.778163158284433e-05,4.888545557066454e-06,0.019737011730348527,0.0004407411852852,1.3647972410102918e-06,1.5828679858925116e-05,1.7756951856877206e-10,7.919729077397603e-05,7.028608631846972e-07,0.00015062832644651422,3.174242984981766e-05,7.867341707389556e-06,1.4299053275308447e-09,5.635995659665657e-06,1.1392125917443004e-09,1.1547338346139467e-12,0.00025915836897604135,3.712403695016146e-07,1.198066288913996e-06,0.75456184065061,0.0,0.011011346008056913,-5.518771245801452,31995366.79768638,594.125862679608
1.2052821208992807e-07,8.89831642043869e-05,1.8664197221875414e-06,0.200945568724773,7.47300727398298e-05,0.0434124829783913,9.77191587938293e-07,2.565988103621254e-05,0.0,0.0,0.0,0.0,1.4054645969169602e-20,3.623959885561226e-08,3.5322126198887066e-05,3.3051067079284953e-06,0.02395846813827953,0.0005572328903771,1.8601293932059033e-06,1.3701602023012836e-05,2.9235126640548075e-10,0.0001225209742149187,1.070698026216574e-06,0.00018453893726123318,3.082683156497823e-05,1.3952881873459665e-05,2.2265226399397486e-09,4.946390880173677e-06,1.7112393301658562e-09,1.662197419272389e-11,0.00014181131294921072,1.8109617365734218e-07,1.6414967120937767e-06,0.754921002169514,0.0,0.014269151232207398,-5.6503860531831105,48498142.4261971,657.36357617503
1.2592974687634931e-06,0.0001369664283588,2.4848026087824505e-06,0.192267042722632,8.810597099409109e-05,0.0509852059221609,2.4572770453911605e-06,1.5372581554115405e-05,0.0,0.0,0.0,0.0,2.9821752966685727e-19,5.3523185254000754e-08,5.748789057577552e-05,3.0620796248036056e-06,0.03794203074662783,0.0007528116279322,3.026763840930868e-06,2.361504040223291e-05,4.743869764938369e-10,0.00018446847130077157,1.7866537935650546e-06,0.00017408858835667117,1.0406909041979192e-05,1.9828943497744888e-05,1.7494578917778045e-09,5.2780823543151315e-06,1.232499507531065e-09,3.4616818613212114e-10,8.872068960006035e-05,9.40645527800345e-08,6.279381561559408e-06,0.755769867327922,0.0,0.01717173406711978,-5.785721948443346,83177302.04135163,737.4700712729939
3.875119866241044e-06,0.0002157643944262,2.9145080299964623e-06,0.1878171029528889,0.0001003913162734,0.0558979925521907,4.110501199393686e-06,1.1228125982161892e-05,0.0,0.0,0.0,0.0,1.355264993375859e-18,7.356037812099578e-08,7.927375422301355e-05,2.500963367552586e-06,0.042749438459530595,0.0012287784554197,4.992465967568978e-06,3.3684958907264266e-05,9.883921092605245e-10,0.0002847782927206057,2.6769077842972146e-06,0.00023275909449327377,9.665817680017259e-06,3.348208190676336e-05,4.012125352661702e-09,5.167205688386582e-06,2.3349158133420092e-09,1.3318895353568792e-09,3.471823494798338e-05,3.216114528753585e-08,1.6251104627720595e-05,0.754739970328801,0.0,0.019483234593867634,-5.914241429547693,156892090.41209212,792.775626143827
1.9361948122367793e-05,0.0002470444353809,8.686435107747488e-06,0.17999057599664,0.0001390359164066,0.0631921477572426,1.459529712582864e-05,8.46418962638908e-06,0.0,0.0,0.0,0.0,2.6236071567334242e-17,1.7672866753164426e-07,0.00018380682395000632,4.4968269200123964e-06,0.05259511533304113,0.001389602656285,6.7600245705526725e-06,4.269485015247062e-05,1.4081155302403705e-09,0.00026271925403028624,4.180478859564762e-06,0.00012319480284098407,2.360750485983183e-06,1.520133135499628e-05,1.0089080789942377e-08,9.839066505807907e-06,1.2114072934266508e-08,6.903136323171748e-09,1.0097478832555675e-05,6.981288043839195e-09,5.612965133615472e-05,0.755041593238045,0.0,0.022067975609396266,-5.9595358897849975,234115780.45687538,869.127547531188
5.3376149310796744e-05,0.0002462863860942,3.113701352755039e-05,0.1709779130079859,0.0002201898727468,0.0710127167373307,2.594958082786621e-05,7.513632769410742e-06,0.0,0.0,0.0,0.0,3.2103641948505033e-16,4.386114251621492e-07,0.0004590393467631087,7.375950224072642e-06,0.05207083243896497,0.0014264933644579,9.82583081574401e-06,2.7316750841680948e-05,2.4388615256768873e-09,0.00025959556508383806,6.961580357204358e-06,7.628607823260562e-05,1.3212572302513323e-06,6.721312072181491e-06,1.5186805172555987e-08,1.902251531375436e-05,3.397657874493946e-08,2.287170847076908e-08,2.627451645683573e-06,2.566821670619872e-09,9.920215249816486e-05,0.756116400631385,0.0,0.02654503366920964,-6.355433513813639,418616266.46640384,949.403105973347
0.00013599739264911088,0.0002212907149051,0.00010748840562185888,0.16097609952754,0.0003971101468285,0.0800670484481938,3.410830503372754e-05,7.076327651917673e-06,0.0,0.0,0.0,0.0,3.4167338945108272e-15,9.947985590401912e-07,0.001311841530403967,1.1646343709775385e-05,0.04819943394297649,0.0014349446583295,1.5741297623252097e-05,1.268876795674079e-05,4.6276319792036755e-09,0.00026399088050068687,1.1241137410636353e-05,4.487761785696464e-05,9.492063444795615e-07,2.5801359503468874e-06,1.0995303172221658e-08,3.668216045142355e-05,4.943856276535536e-08,6.692522015115019e-08,7.189194697211039e-07,2.702194562324559e-09,0.00013271233787057998,0.7569035065042029,0.0,0.03182381004481901,-6.720802858928077,851964090.593838,1044.6428935433698
0.0003342549833308641,0.0001957367283935,0.00031286584182213404,0.1503699882877909,0.0007787680285875,0.0905610685165098,3.581547727752464e-05,7.158004040146475e-06,0.0,0.0,0.0,0.0,2.8551681802146833e-14,1.980624412933628e-06,0.0035560196443974994,1.6063358104896555e-05,0.03923361792927866,0.001519987814169,2.380482764717158e-05,5.419498274924426e-06,9.703505891279842e-09,0.0002914249200191012,1.7374890478859006e-05,2.7238561460905704e-05,8.247039375782103e-07,1.0320560694612323e-06,5.526082766563121e-09,5.7941393224125367e-05,4.6051441872008446e-08,1.490158095874955e-07,2.2791055327035749e-07,3.266369226947625e-09,0.00015367879963770672,0.7565744506245491,0.0,0.038072401763282894,-7.069460435200432,1946016160.687069,1149.96176077417
