Y_NO,Y_NH3,Y_H2,Y_O2,Y_H,Y_O,Y_OH,Y_HO2,Y_N2,Y_H2O,Y_H2O2,Y_NH2,Y_NH,Y_N,Y_NNH,Y_NH2OH,Y_H2NO,Y_HNOH,Y_HNO,Y_HON,Y_NO2,Y_HONO,Y_HNO2,Y_NO3,Y_HONO2,Y_N2O,Y_N2H4,Y_N2H3,Y_N2H2,Y_H2NN,Y_AR,MF,CEM,HRR,T
0.01823654683631384,0.0016438945326835,0.0001439830534886,0.137239835817435,0.0005959238491911206,0.0006053767583365722,0.0014690380054845,2.558048098093128e-05,0.756402458601397,0.103100789989511,8.410787422753292e-06,0.00022107889108879605,6.396645873739815e-06,7.00000538206374e-07,1.8763735555123116e-08,1.759882573623383e-06,1.107756494034671e-06,2.472708162474347e-07,7.37703497740263e-05,8.17636092834654e-05,4.6705739188120796e-05,4.8946388123018745e-05,1.040728923260282e-07,2.1322089613176337e-09,1.4288046033138371e-07,0.013743308929189048,4.779300647626904e-07,7.460212167328484e-07,1.1264947288999664e-06,3.727997809393293e-07,0.0,0.04584956872280693,-7.209385143407046,4518835576.671259,1278.9511243483198
0.03455038935530795,0.0017020865013964,0.0001199016684588,0.119859388364056,0.0009627724738284257,0.0011238443860744213,0.0025832481288331,1.8273191683250025e-05,0.7569106311148779,0.118824744222377,7.787658621926703e-06,0.0002726141505562185,9.40982908884423e-06,9.631108194317866e-07,3.949518511238265e-08,1.1032618790269869e-06,6.187486794927021e-07,1.59480444445621e-07,9.599612366446911e-05,7.16137111240713e-05,4.99272482670035e-05,4.899636534632462e-05,1.4089693891796402e-07,1.7455673185348494e-09,4.0260387602915185e-08,0.010485915816993248,2.5129911259093803e-07,3.9929793623025983e-07,1.6946172612292345e-06,1.9274673875333292e-07,0.0,0.05102878815836263,-7.332141946262759,8489017564.876918,1419.4209766794
0.050271974886493404,0.0020328769368683,0.0002598559971064,0.0961766781972222,0.001774003795716666,0.0017424936935592494,0.003965417966941,1.4435918977314591e-05,0.758962404035335,0.1386027668665269,5.706975879358658e-06,0.0003828440561242294,1.857907209524666e-05,2.4032950501211198e-06,7.479189881579142e-08,7.733751943956369e-07,4.740961231313841e-07,1.1768822249295932e-07,0.00012585958908148553,7.913692025696584e-05,3.2827378071374455e-05,3.392287131265e-05,1.269336853277505e-07,8.715559200992276e-10,7.717872057735158e-09,0.007904998823743075,1.894333406442591e-07,2.978579867347069e-07,2.709864774132297e-06,1.2819222703171108e-07,0.0,0.05987473176738876,-7.56611956188807,15743353032.02394,1570.86054711931
0.04976610106198463,0.0027365319647332,0.0007463935205695,0.0682379432045249,0.003722319032175596,0.0022398364083554326,0.0052659164319836,1.1970914119988825e-05,0.762315415552095,0.160697799326093,3.9280367385822e-06,0.0005788336470017699,4.8582791851522094e-05,1.1980620867032001e-05,1.1250029751520363e-07,6.423736815898954e-07,4.419596674389912e-07,1.0675640249371053e-07,0.00014920371364902384,9.894293253065846e-05,1.2925827335623176e-05,1.76223127370762e-05,7.932459688321107e-08,2.7756794477966597e-10,1.2606080652303094e-09,0.0058110665919752945,2.0063086154505357e-07,4.054907407171516e-07,5.273924510478363e-06,1.436443760371087e-07,0.0,0.07680890384920556,-7.804845139241401,29826976273.175056,1698.8237631844
0.03177788868293139,0.0068828237007311,0.0016247247606108,0.0537298979112804,0.005684957879158557,0.0018468743479776865,0.0055941754875569,1.1698419150767699e-05,0.7597557894653779,0.1724125886744429,3.068049885746994e-06,0.0015486543312608462,0.00020299446533374884,9.540709264391248e-05,2.5117880807674814e-07,1.2985113633397574e-06,9.943483561244484e-07,2.2727796999290377e-07,0.00026167566039195873,0.00025683003256364513,4.9107007475775025e-06,9.16098989541865e-06,4.4178323257534366e-08,8.113274762440444e-11,3.280431801232441e-10,0.008364557531546501,1.0461330208604662e-06,3.1889010695346252e-06,4.233346718012387e-05,1.075599259053084e-06,0.0,0.09610614262675965,-7.907614436913956,80076644215.23856,1752.2228263693
0.025051529224825234,0.0101998884139476,0.0025007985515953,0.0437941167055257,0.007176321003385063,0.0016243891977494392,0.005498219035786,1.0082747306333868e-05,0.7595342930107941,0.178472684282352,2.536708363614335e-06,0.0021624463176177036,0.0003382490387107037,0.00022079442349964737,3.6229179832838775e-07,1.5565140165241983e-06,1.1496142442358838e-06,2.6425687588384315e-07,0.00028823595933929016,0.00030660579493032604,2.7798882055416307e-06,6.608916094924384e-06,3.260865017718827e-08,3.817579757004434e-11,1.554830721874342e-10,0.008165662737565462,1.8415620167720777e-06,6.682065765291666e-06,8.281843747807465e-05,2.0645346822228477e-06,0.0,0.11001781562017533,-7.947808091470787,119027434814.22768,1770.7328536942605
0.019492681593101944,0.0172501089502778,0.003787497236733,0.0421073278852296,0.008234577575179975,0.0012973763650503175,0.0048990893945228,1.0273162362433234e-05,0.7537367393306379,0.178219237202598,2.2409197321111045e-06,0.0031546021081506137,0.0005193081587351816,0.00042094581656049494,6.039334087017643e-07,2.2785765021615747e-06,1.6112656735952497e-06,3.4628352604353165e-07,0.00032876030458037827,0.00045658035621331166,1.8550478272398397e-06,5.616840848041615e-06,2.688697290746252e-08,2.343075383062187e-11,1.0967216191740766e-10,0.009303122971170245,4.545271932426236e-06,1.8993504704558012e-05,0.0001796824753666916,5.364008745001955e-06,0.0,0.12364401395553885,-7.952878773979887,172209724147.2035,1746.32555666217
0.016109839549839054,0.023028743409118,0.0048802516094049,0.0409935954703645,0.008675472118388533,0.001079101086719813,0.0042733679769716,1.0289889376080365e-05,0.7494261464818192,0.177397895052321,1.9934958784786318e-06,0.0036678834397342007,0.0006032247229522096,0.0005556436395153078,7.414268855266135e-07,2.741606088295024e-06,1.8552098853505698e-06,3.7352700077756154e-07,0.0003240716544091678,0.000530664919229396,1.4034303765276442e-06,4.926604633728275e-06,2.2708173293237674e-08,1.7233115248882177e-11,8.992203133043306e-11,0.009466615386113604,7.43799843637557e-06,3.399300514207333e-05,0.0002504360199655754,8.875712494459879e-06,0.0,0.13463440579149982,-7.932625848673236,193609907070.70685,1716.8160168384302
0.01269158840053678,0.0314633506815383,0.0061203413131707,0.0417183741003626,0.008574483393064339,0.0008275288575416047,0.0034143271735769,1.1000305780994563e-05,0.7466152543970358,0.170668352334316,1.8941322045719481e-06,0.00412236781199999,0.000628736317237487,0.0006385067537088192,8.46500152906243e-07,3.6995161569182354e-06,2.2964584491455354e-06,4.183637778613587e-07,0.0003047278330775053,0.0006401925073578706,1.1637462904854725e-06,4.672722501539066e-06,1.9666486256685167e-08,1.5381231701420253e-11,1.0324550964372889e-10,0.01021423147448354,1.4103709075028947e-05,7.237319037408598e-05,0.0003368096373632206,1.7665347758122684e-05,0.0,0.14707302734051295,-7.885356254504857,196797798439.55466,1649.89189849409
0.00969565443748528,0.0407830181866174,0.0074220840645374,0.040255325100316,0.008190316793894408,0.0006059619278652512,0.0026424924965207,1.124310752761094e-05,0.7459002778316779,0.1629968023203299,1.8290341406976072e-06,0.0043143372706232605,0.0005960709060054325,0.0006633006810188159,8.523937397215153e-07,4.875111645689974e-06,2.6875261502283286e-06,4.5054701359613537e-07,0.00026357557587750545,0.0006891148071481174,1.009036357805485e-06,4.38292149857915e-06,1.6493202873599612e-08,1.4183241499193184e-11,1.3700061757838103e-10,0.010632861318488333,2.456720035979413e-05,0.00014092906865648813,0.00039095559018949305,3.29932069623314e-05,0.0,0.16146180168030722,-7.827220835751285,183173494843.26486,1574.52131744749
