Y_AR,Y_N2,Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_CO,Y_CO2,Y_HCO,Y_HOCO,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,MF,CEM,HRR,T
0.0,0.756402458601397,0.0006981373374257833,0.0001439830534886,0.0,0.0007448360291340783,0.0014690380054845,0.103100789989511,2.796701120234407e-05,8.405204786077097e-06,0.137239835817435,0.0,0.0,0.0,0.0,8.838409121446409e-07,1.8884862394697118e-05,0.00031688205295391186,0.0016438945326835,6.658808763990194e-08,1.6694592322223152e-06,2.4049798431064336e-07,6.514961640087414e-07,1.1128205239055863e-07,0.011977165849923801,0.007585976977100967,2.0954081779565168e-05,5.877217961757732e-05,6.261208929303254e-10,7.106073558510098e-05,6.811901053968019e-06,3.3627373886688125e-07,2.2310380851981357e-06,4.2948597921871653e-08,6.336993840808757e-08,0.0,0.04861967553147737,-7.25959946273268,4263307115.2760897,1278.9511243483198
0.0,0.7569106311148779,0.0011380686746304334,0.0001199016684588,0.0,0.0013489332024352661,0.0025832481288331,0.118824744222377,2.0676298879713405e-05,7.84400879479903e-06,0.119859388364056,0.0,0.0,0.0,0.0,1.5577797214001216e-06,3.0051709447333228e-05,0.000404729879556727,0.0017020865013964,1.447083056075429e-07,1.6808559311746357e-06,1.396929298127792e-07,3.271626176924176e-07,6.470686128886359e-08,0.02229450688888119,0.006263913230382822,2.026253885233013e-05,7.641629225766189e-05,1.096444994619254e-09,4.456728214323356e-05,3.848263624358518e-06,2.4979393540752496e-07,1.475447557560378e-06,6.114660361749255e-08,1.6475453594176724e-08,0.0,0.05508556362831656,-7.431712216170969,7998092771.581067,1419.4209766794
0.0,0.758962404035335,0.0020115045086787015,0.0002598559971064,0.0,0.002043197809340935,0.003965417966941,0.1386027668665269,1.592084025985677e-05,5.8509563060154e-06,0.0961766781972222,0.0,0.0,0.0,0.0,3.7067844351565844e-06,5.68324213497874e-05,0.0005739619736644828,0.0020328769368683,2.917956569795765e-07,2.1357572213322407e-06,1.0959204569937583e-07,2.119266417924079e-07,4.8251675001374006e-08,0.03381335595343728,0.005026664129183712,1.5812545259801164e-05,0.0001015921148926814,1.8213375330922129e-09,2.159644844451355e-05,2.698238441641741e-06,2.1106994229349617e-07,1.0647238367914936e-06,6.171968877367013e-08,3.811686730182614e-09,0.0,0.06508688713463194,-7.6245335072446965,15164026104.36913,1570.86054711931
0.0,0.762315415552095,0.004062546407460204,0.0007463935205695,0.0,0.0025831035164889256,0.0052659164319836,0.160697799326093,1.2456627585284175e-05,3.997309490649389e-06,0.0682379432045249,0.0,0.0,0.0,0.0,1.2575807061626993e-05,0.00012324873304491636,0.0008475708654513658,0.0027365319647332,5.014929590467669e-07,2.941792398097473e-06,1.2143390984789863e-07,1.6999012133751417e-07,4.686110338191919e-08,0.039461404692798976,0.00382049531390565,8.850994478572256e-06,0.00012495915571808752,3.0914261902963976e-09,1.0539534649387188e-05,2.0770334562858414e-06,1.9059617559060761e-07,8.742172385336839e-07,4.557728170333787e-08,8.873775160764971e-10,0.0,0.08050038949323964,-7.854589845025538,28849860675.25052,1698.8237631844
0.0,0.7597557894653779,0.006349942984297696,0.0016247247606108,0.0,0.002261378901853338,0.0055941754875569,0.1724125886744429,1.1496689668435608e-05,3.0135638613406046e-06,0.0537298979112804,0.0,0.0,0.0,0.0,6.465549789904737e-05,0.0004092618444803729,0.002122315212445536,0.0068828237007311,1.3103944433157458e-06,1.4479831940458074e-05,5.966962684222672e-07,6.734318699403416e-07,2.0500455534833566e-07,0.03223251397531562,0.005474728327425044,4.042700054914491e-06,0.00023197703979253303,3.95570476103065e-09,5.801282551256161e-06,3.6973274168297303e-06,3.5791882874075943e-07,1.6258633817856525e-06,2.8621435309799136e-08,2.7593484545494135e-10,0.0,0.09708682418551126,-7.963083446602184,76802617566.31543,1752.2228263693
0.0,0.7595342930107941,0.00809287310993476,0.0025007985515953,0.0,0.001995961465863411,0.005498219035786,0.178472684282352,9.910850393875859e-06,2.4658544462662217e-06,0.0437941167055257,3.946982106189124e-27,1.444374956941327e-26,1.204650553760131e-32,3.825348311918464e-33,0.00013622568017038813,0.0006589834193656781,0.0029608526959163423,0.0101998884139476,1.928200004072548e-06,2.472546340655264e-05,1.0465984916913047e-06,1.06855041366497e-06,3.240502259063842e-07,0.026946065108169645,0.005428962199587852,2.336710601385336e-06,0.00026547438775515456,4.4222414107653055e-09,4.026599360402725e-06,3.91534184794895e-06,3.951644051875976e-07,1.932054374840498e-06,2.0521024073131935e-08,1.3350865706809127e-10,0.0,0.11067695546714781,-7.999521134265241,114316831613.19868,1770.7328536942605
0.0,0.7537367393306379,0.009521162909803487,0.003787497236733,0.0,0.0016250409487290002,0.0048990893945228,0.178219237202598,1.0193535912702035e-05,2.135407443651845e-06,0.0421073278852296,0.0,0.0,0.0,0.0,0.00024103095290641143,0.0009930835168377023,0.004326800823499197,0.0172501089502778,3.1684440470640575e-06,4.719833552918094e-05,2.257606988836761e-06,2.476848597066227e-06,5.998726246888396e-07,0.021577802740494912,0.0060550336286434156,1.4587940489048615e-06,0.0003078861584004837,4.705649855857353e-09,3.350062578680428e-06,4.9368450480122e-06,4.839528883433077e-07,2.7710422617303107e-06,1.5536534135160957e-08,8.789564517003335e-11,0.0,0.12469767595991642,-8.007146276354131,166435279265.6585,1746.32555666217
0.0,0.7494261464818192,0.010150004861691788,0.0048802516094049,0.0,0.0013491150635717357,0.0042733679769716,0.177397895052321,1.025339978560661e-05,1.8694495746176705e-06,0.0409935954703645,0.0,0.0,0.0,0.0,0.00030656564409292495,0.0011600602791471176,0.005085942272699303,0.023028743409118,3.8613253762633895e-06,6.251707630865991e-05,3.2240720001947852e-06,3.994609344671765e-06,7.619315974771612e-07,0.017812876202065082,0.00608074780523891,1.0469580399795623e-06,0.00030568006311975315,4.436545038189158e-09,2.9485530113170067e-06,5.333988911100855e-06,5.03955294577324e-07,3.3151785969842416e-06,1.2320602799378037e-08,6.814888429391091e-11,0.0,0.13608211421664856,-7.99748090968779,187550759910.37326,1716.8160168384302
0.0,0.7466152543970358,0.010246906970424415,0.0061203413131707,0.0,0.0010399892779532913,0.0034143271735769,0.170668352334316,1.0951062118683936e-05,1.7084608982616943e-06,0.0417183741003626,0.0,0.0,0.0,0.0,0.0003362687452801807,0.0012318802518118139,0.005812536613110801,0.0314633506815383,4.404394741020055e-06,8.064910146004212e-05,4.818457741975581e-06,7.8552039105261e-06,9.64698689351702e-07,0.013889473207715821,0.006399031453134318,7.779699586218923e-07,0.00028739390823651924,3.845126636211922e-09,3.0645559158468946e-06,6.097869615323819e-06,5.336606792767523e-07,4.426923927166396e-06,9.900141056442581e-09,6.973327136892974e-11,0.0,0.1491139132648589,-7.970739236622686,191206679352.69464,1649.89189849409
0.0,0.7459002778316779,0.01004567064074432,0.0074220840645374,0.0,0.000763910906525405,0.0026424924965207,0.1629968023203299,1.1089589163071179e-05,1.5333804857600592e-06,0.040255325100316,0.0,0.0,0.0,0.0,0.00033758310689523314,0.0012064268852115202,0.006219579358741415,0.0407830181866174,4.494242625095793e-06,9.377213488501828e-05,6.5457334760643065e-06,1.4651848989796367e-05,1.1026450613208052e-06,0.01037719710901221,0.006467015341218841,5.702045475830121e-07,0.00024921258997038555,3.168870517146025e-09,3.2797311296843673e-06,6.585367690043657e-06,5.41933013953575e-07,5.7748342155513e-06,7.661558231633442e-09,7.76695920494194e-11,0.0,0.1640814117599667,-7.9363009748305124,177692581027.90036,1574.52131744749
