Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_OH*,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,Y_HNO3,Y_CO,Y_CO2,Y_CH4,Y_C2H6,Y_N2,Y_AR,MF,CEM,HRR,T
0.00039830946354130886,0.0195239093531979,0.0,2.300542795625203e-06,0.0001619909780508,0.0645865592981624,4.913568329260005e-05,0.0002787383381956585,0.106874407757883,1.0653634355061345e-16,9.146576398456615e-07,9.659106086159587e-06,0.001383208321012774,0.13027687097979,1.2107556663136119e-07,0.0002454614061478543,1.263218789503994e-05,0.0005658888376048652,1.803466998884429e-05,0.0005308090161855645,0.03529250591076563,1.8553214068642434e-06,7.962160684822066e-05,3.2600490047774785e-10,1.209757936952068e-05,8.138193163205419e-05,3.972140601221277e-06,0.00021573447622197196,2.6406260990776583e-09,1.2513888836762008e-05,4.411582639592333e-09,1.3226345127406931e-06,0.0,0.0,0.0,0.0,0.678576261632915,0.0,0.23008511320473057,-6.628827256117434,12381279272.136679,788.908184923463
0.0003930462359954755,0.0196029971286059,0.0,2.2342984541077075e-06,0.0001628053993581,0.0651154726023204,4.900563767235578e-05,0.00028291162169973363,0.106527210214707,1.0142598712258624e-16,8.764361333957908e-07,9.326610374315552e-06,0.0013781788112074652,0.1301843966408599,1.1984518443007222e-07,0.00024458965514777075,1.2697157862041416e-05,0.0005702223346652615,1.8390049545315735e-05,0.0005297263445628364,0.035554704017336035,1.883051456985881e-06,8.012448008868001e-05,3.2783658689562713e-10,1.2366673640004843e-05,8.139689548493966e-05,4.068912805253679e-06,0.00021967740445908484,2.5544403488048583e-09,1.3321909075966548e-05,4.646017944875876e-09,1.3876016604304547e-06,0.0,0.0,0.0,0.0,0.67840711801415,0.0,0.23031909245983012,-6.6232714534851205,12384761427.96974,786.621832374828
0.0003243157179826885,0.0197920049325203,0.0,1.6724524344469707e-06,0.000150259836224,0.0627527512941012,4.5783949796687756e-05,0.000336280446849036,0.109143333870017,5.875832356645263e-17,5.411996621971659e-07,6.527769765384721e-06,0.001316335265020325,0.131940456457085,9.747694805757989e-08,0.00023752794713509718,1.2537187722474288e-05,0.0006195883717789716,2.1065409133564717e-05,0.0004946545690777129,0.0358635562143996,2.1412480153222606e-06,8.411919735586045e-05,2.991670274496869e-10,1.2878806748142573e-05,8.365628800823736e-05,4.3650120537626085e-06,0.00023972667320737792,1.8593045692109775e-09,2.0467325297494368e-05,6.486862339407314e-09,1.794250428644209e-06,0.0,0.0,0.0,0.0,0.6762211936100521,0.0,0.23075538648813346,-6.580949444692684,11247439975.731054,769.533665155973
0.0002665687906292762,0.0198161442128716,0.0,1.2531206374199226e-06,0.00013910263961,0.0603668125909117,4.227765682143274e-05,0.000394080539144893,0.110465154335896,3.398620282957109e-17,3.296969224735563e-07,4.5228352975108055e-06,0.0012611149665232764,0.133650623897202,8.185322368385181e-08,0.00023800488988725538,1.2488146049233942e-05,0.0006732093301724854,2.442376894562353e-05,0.00046115644354161717,0.036219883221098134,2.4371916116983222e-06,8.790116863289526e-05,2.703713646555135e-10,1.3220086621534095e-05,8.494708960100265e-05,4.6684827818105194e-06,0.0002604010825539727,1.3006937969748549e-09,3.0523974937182776e-05,9.011270159984626e-09,2.2977323830821206e-06,0.0,0.0,0.0,0.0,0.675562162323509,0.0,0.2311537982767587,-6.630104882544465,10248212806.784525,753.126029182044
0.00021999025147682237,0.0199729913410198,0.0,9.50389204766541e-07,0.0001291198168966,0.0582604401623533,3.912002495977725e-05,0.00045603913787307406,0.111036210054737,1.9990791023493187e-17,1.9944437438307462e-07,3.086001167626033e-06,0.0012012463584432683,0.135546521136246,6.993362926552127e-08,0.00024079952736994422,1.2295746406964238e-05,0.000725693644615662,2.7803496582173342e-05,0.00043136315958123384,0.03680575001567772,2.7559949875821883e-06,9.118569565358061e-05,2.4638152912167933e-10,1.3551995026044335e-05,8.546844361279906e-05,4.97118892361396e-06,0.0002809259213751762,8.807333469895908e-10,4.3917165200738675e-05,1.2293836081998225e-08,2.9356061389749433e-06,0.0,0.0,0.0,0.0,0.6750547174887459,0.0,0.2323984055410091,-6.647373929725093,9361438175.629704,737.060298222578
0.00018675302274923008,0.0203503939030666,0.0,7.616622586243913e-07,0.0001277976020894,0.0561543152440707,3.712037118132332e-05,0.0005208426317769412,0.112513615102398,1.2681008170419636e-17,1.236960858871707e-07,2.1294087459465764e-06,0.0011616873594926498,0.136707033129704,6.409898263058115e-08,0.00025830053459810086,1.2567793209041795e-05,0.0007829106028329163,3.286543198028928e-05,0.0004184875045947576,0.039957070882028205,3.219099129383443e-06,9.604188968923056e-05,2.356659473646773e-10,1.4825369739082754e-05,8.548309468405794e-05,5.645946007365268e-06,0.0003116442039492685,5.673749335770612e-10,6.501690582357311e-05,1.7759056130970178e-08,4.049356034883644e-06,0.0,0.0,0.0,0.0,0.6741468450186721,0.0,0.2318195813171318,-6.579487300557594,9035314605.698355,720.2212864765511
0.0001715128057289062,0.0204068456159499,0.0,6.857634917937829e-07,0.0001234024136483,0.0544166824364471,3.594644673136315e-05,0.0005528287236978443,0.11376613519059,1.0222128989579359e-17,9.91493609941679e-08,1.8005383574716937e-06,0.0011362942204591654,0.137706220073971,6.009197528373582e-08,0.0002638522223694895,1.2437303158946432e-05,0.0008063093501122947,3.4533290091152844e-05,0.0004078598544774042,0.04114383179387775,3.4127879923797454e-06,9.745446939812732e-05,2.2497506814650478e-10,1.4868426138957472e-05,8.571482386971336e-05,5.741350200773714e-06,0.0003193372973625896,4.771162520001857e-10,7.432576385159233e-05,1.998328703726831e-08,4.4592562077371295e-06,0.0,0.0,0.0,0.0,0.673580714269394,0.0,0.23132679231259046,-6.544855313011766,8660604520.917131,714.055554098602
0.00016963317906164185,0.0202846396104333,0.0,6.756612606302403e-07,0.0001232219488327,0.054599656713595,3.549086909431029e-05,0.00055439942421136,0.11274001802987,9.987220835953294e-18,9.734417868926439e-08,1.7859790147645769e-06,0.001141296730677178,0.138085483757615,6.081621250074695e-08,0.0002691464145960018,1.2603716850776512e-05,0.0008144391805539684,3.536958484774079e-05,0.0004046123286880046,0.04127752860170902,3.432089731904557e-06,9.732783325106892e-05,2.2208226096293378e-10,1.4738511129317575e-05,8.544090074147207e-05,5.761609979333907e-06,0.0003212353910027614,4.702772190712776e-10,7.519584047484329e-05,2.0323961981525366e-08,4.475429943071852e-06,0.0,0.0,0.0,0.0,0.674166979939653,0.0,0.23156288419068036,-6.541829133337193,8654640481.195776,713.842253163853
0.00019625976911191446,0.0202415784716974,0.0,8.012910517159751e-07,0.0001255726175694,0.0560786904833497,3.702354359353552e-05,0.0004976580770623419,0.110354422569983,1.445740156933622e-17,1.441408788102854e-07,2.3989118436739357e-06,0.0011746323248832387,0.1377164575465,6.565600111742675e-08,0.00025008607785774743,1.2399629834629896e-05,0.0007717349007717834,3.088320139255289e-05,0.0004130381833472344,0.037571258908306426,2.971550446315454e-06,9.289781572622837e-05,2.3381416773979924e-10,1.3873609018055429e-05,8.49132431826176e-05,5.295424532792937e-06,0.00029965841633484036,6.574570580661306e-10,5.514597084632824e-05,1.514171478607474e-08,3.456254115036108e-06,0.0,0.0,0.0,0.0,0.6754832783109009,0.0,0.2347775360032633,-6.5991773860351595,9039649608.309935,726.3403856155119
0.00020390649915237995,0.0204061645333644,0.0,8.378021573074929e-07,0.0001281669266487,0.0571256476969158,3.77475248003318e-05,0.00048448214837092416,0.110014687168771,1.5709398056913527e-17,1.5644335702409212e-07,2.5285309132552193e-06,0.0011778347251891921,0.1369485115173,6.691479618745479e-08,0.00024527581454287167,1.2319263258104137e-05,0.0007577324603049891,2.9880226964545362e-05,0.0004186988743675777,0.03734104977344616,2.88910537003079e-06,9.225643964997449e-05,2.406343241467229e-10,1.402823745233445e-05,8.451252889431019e-05,5.301743839422866e-06,0.0002970853253626046,6.841225742311756e-10,5.2334016395748526e-05,1.4460249997091723e-08,3.3717406868421983e-06,0.0,0.0,0.0,0.0,0.675376822157,0.0,0.23517313441758603,-6.61300235108749,9224560257.113476,727.771149651782
0.00021988302734953373,0.0202665714903158,0.0,9.402955324655994e-07,0.0001298059751837,0.057908907909516,3.922928776545626e-05,0.0004584794976965509,0.11138540300878,1.9512341912389313e-17,1.941042000736191e-07,2.9904336558940475e-06,0.0011940429460447668,0.135881914467865,6.902871767147888e-08,0.00023781273856336938,1.218047208052079e-05,0.0007268399732668683,2.762969267772214e-05,0.00043100177262036106,0.03680247779690579,2.7504528983656694e-06,9.116519541148558e-05,2.484780691373412e-10,1.3743095117366903e-05,8.518279445321864e-05,5.04124898674815e-06,0.00028350636800455076,8.369860009734546e-10,4.4799795230987386e-05,1.2477850495429254e-08,3.000668932030288e-06,0.0,0.0,0.0,0.0,0.6744273971483399,0.0,0.23356669039639166,-6.644253351139598,9409597436.350548,735.108078940809
0.00023016011519415741,0.0202625060320698,0.0,1.0025367486783752e-06,0.0001298624465442,0.0583703793229585,3.992341415451748e-05,0.00044181110030857364,0.11111693256165,2.218117638955497e-17,2.2041446402381702e-07,3.28537443541128e-06,0.0011993912756265502,0.135598371915508,7.028972024546622e-08,0.00023168036817159868,1.1987068421366031e-05,0.0007093674833080463,2.605033105210796e-05,0.000434881117254659,0.03601520779675372,2.6262804728517963e-06,8.967739708287062e-05,2.5238006520142607e-10,1.3431899055361867e-05,8.510244692506498e-05,4.85380201699072e-06,0.00027474386273679664,9.378865144593165e-10,3.989622465940707e-05,1.1187165511903052e-08,2.746239886528741e-06,0.0,0.0,0.0,0.0,0.67452194772127,0.0,0.23400395190143086,-6.662073826446947,9474571872.731142,739.602626179456
0.0002709172266447043,0.020140262031007,0.0,1.2680875029450634e-06,0.0001351585819131,0.0603007347178833,4.228612069313412e-05,0.0003856326749908637,0.109614080938898,3.498568801938927e-17,3.4226178017283437e-07,4.574918821106314e-06,0.0012401005853254685,0.134391507902834,7.931013069315734e-08,0.00022535347635565636,1.1859895829873706e-05,0.0006604390915689814,2.25233692884599e-05,0.0004534286486401246,0.03473210105767786,2.294871641689961e-06,8.538351174026599e-05,2.682575260132909e-10,1.2687738420072922e-05,8.411528791541737e-05,4.4411928376431116e-06,0.00025216549206595444,1.3220903829598313e-09,2.7508193181462348e-05,8.09252581945195e-09,2.1117111789558146e-06,0.0,0.0,0.0,0.0,0.6754182558274641,0.0,0.23429851939026,-6.613473901197246,10044946397.889112,754.464281801069
