Y_H2O,Y_NH3,Y_NO,Y_N2O,Y_N2,Y_O2,Y_H2,Y_NO2,Y_AR,Y_HE,Y_H,Y_O,Y_OH,Y_HO2,Y_H2O2,Y_OHV,Y_NH2,Y_NH,Y_N,Y_N2H4,Y_N2H3,Y_N2H2,Y_H2NN,Y_NNH,Y_NO3,Y_HNO,Y_HON,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HONO,Y_HNO2,Y_HONO2,Y_t-ONNH,Y_c-ONNH,Y_ONHN,Y_H2NNO2,Y_t-HNN(O)OH,Y_c-HNN(O)OH,Y_CO,Y_CO2,Y_CH4,Y_C2H6,MF,CEM,HRR,T
0.0151169334441094,0.164185040829991,0.00030557782981313733,0.0003156289134743538,0.649427661725896,0.14666988236644,0.0245176525117809,5.806139026819884e-05,0.0,0.0,6.789367573587574e-09,3.6515173055876856e-08,8.28291217829221e-05,5.759649256416534e-06,0.00020745679243544437,4.447296804023747e-25,0.00022185389112095228,1.6538970604100062e-07,1.4806088327372077e-09,0.0004962841511493553,0.0003136362077698385,0.00017741850829348474,0.0013378729879259504,3.816114095967426e-08,9.072537712866706e-08,8.503029308145327e-06,3.089323818731366e-08,0.0006735886453910292,3.753433310878372e-06,4.332602034601281e-05,2.5028576464697627e-05,2.7713502887308026e-14,0.00014133849699423135,3.2298487891105213e-09,2.206633974795064e-12,6.615248315571846e-24,1.982657101882372e-05,7.371664151673117e-12,2.4252261730775572e-08,0.0,0.0,0.0,0.0,0.2790979956193417,-6.8272970644799695,2838325163.7578945,407.555783811464
0.0126673266990324,0.165484541714724,0.0002852857174016574,0.00012817753244905302,0.647524508205232,0.14953235827402,0.0247098426892666,4.631297696786133e-05,0.0,0.0,3.1170083807673473e-09,4.6654774354994033e-08,8.14224177254379e-05,5.609016723218714e-06,0.00013559161907469668,1.9392349661259115e-25,0.00021103347831956596,1.4413319533252793e-07,1.2992179268132671e-09,0.0004786405379949628,0.00030584816757711104,0.0001383048794507837,0.0013987693485027109,3.749129599125842e-08,3.8441774528381503e-08,4.182558783646585e-06,2.0373697852214645e-08,0.000355398110488011,3.952411919391646e-06,4.039876586072169e-05,2.089653102526053e-05,1.3872859335562816e-14,5.9376110349629915e-05,1.9522026131065858e-09,1.0630627451661282e-12,5.158818945476251e-25,7.8146772615632e-06,4.900711086441548e-12,9.456345713607227e-09,0.0,0.0,0.0,0.0,0.2798036851650771,-6.859728473704372,2713305857.511875,392.174171457477
0.0103882753387037,0.167268830728067,0.00029136046884679646,0.0007126975069579331,0.6461864605938851,0.151217765049108,0.0248585722058932,3.571290620635933e-05,0.0,0.0,1.1639590944661432e-09,2.8223348517522022e-08,8.009608434289741e-05,5.948712254111628e-06,0.0004007831654171597,2.98865468658647e-26,0.0001923867208408682,1.1896317451847349e-07,1.0645377721056126e-09,0.00042433358201158074,0.00027417740659013506,0.00020473012238530558,0.001289764939226981,3.371184262840677e-08,2.1300766687144608e-07,8.816315754401482e-06,1.314329550360679e-08,0.0009134854248958183,4.142402277224708e-06,3.4967558926029245e-05,2.42161558274548e-05,6.693309728857565e-15,0.0003393510388197461,1.0294961941351247e-09,4.3663687738301047e-13,3.68641677254985e-25,4.135513623225959e-05,7.055953274943931e-12,4.9865426807248604e-08,0.0,0.0,0.0,0.0,0.27957897306563906,-6.893665742888736,2519514321.6106,374.5526413999031
0.0089922412132108,0.168732159364259,0.0002713158056614385,0.0002198328618010525,0.644934785545489,0.15221611718383,0.0250412909567806,2.7004881497427983e-05,0.0,0.0,4.906796150506713e-10,4.121662451428179e-08,8.34057364298706e-05,5.8150025076074015e-06,0.0002813815416807059,1.2837049882283552e-26,0.0001886562600736006,1.0859723478568506e-07,1.0028781241103542e-09,0.00040713336924553205,0.0002677253084432282,0.00018261075295411205,0.0013335112158491878,3.4711990323794904e-08,7.763594227466381e-08,4.681221361944176e-06,7.916685417481458e-09,0.0005398888783563706,4.590096083018992e-06,3.241383666877444e-05,2.1830686670825726e-05,3.0482785441881956e-15,0.00011587341039230656,5.491233828056763e-10,1.8280301937008619e-13,1.785019501764591e-26,1.2062862778708507e-05,3.533950433934247e-12,1.467284813746822e-08,0.0,0.0,0.0,0.0,0.28190669624102865,-6.9459164759304945,2547741641.9645586,359.4667908238349
0.0072555397983569,0.170079828126245,0.0002763087987180576,0.0006289328076790014,0.6440600784529251,0.15329630812008,0.025224220817942,2.4076806530255028e-05,0.0,0.0,2.529173342173896e-10,3.436035814970509e-08,8.40246844508924e-05,6.074729770591798e-06,0.000448747651669739,4.0752602149734726e-27,0.00017957011962482067,9.664020991329878e-08,8.947770517939676e-10,0.0003750647892798966,0.00024998918848878176,0.00021120655717858297,0.0012766816130078168,3.307780332421856e-08,2.1348583133352185e-07,6.052080680611022e-06,5.8406066695753205e-09,0.0007673797392957409,4.7940871442754665e-06,2.9192752420348985e-05,2.2215189400741096e-05,1.82345328634236e-15,0.0003257962189357112,3.7264895723883877e-10,1.009719234123413e-13,1.2518733560607549e-26,3.286109406404363e-05,5.389241499079112e-12,4.0176173077051094e-08,0.0,0.0,0.0,0.0,0.28224707323299975,-6.979017450765025,2487931137.711268,348.881807871981
0.0061366595779847,0.1709373444890289,0.00025505667719920435,0.0001058476870216344,0.644164828479605,0.153265384496899,0.0254096040763963,1.906351284930613e-05,0.0,0.0,1.3147201649043336e-10,5.480155904869245e-08,8.617888008585241e-05,5.678525638963618e-06,0.00024106400324346835,2.4989574172448518e-27,0.00017799999088793665,8.999959655509559e-08,8.57343615445673e-10,0.0003668029506763879,0.0002487278006478504,0.0001570820788501381,0.0013175378721671223,3.377373631951805e-08,4.289623961518322e-08,2.653717097691607e-06,3.885126914817063e-09,0.0003530822619695854,5.115491307338388e-06,2.7225989736845097e-05,1.9686538678825573e-05,9.508817508100005e-16,6.150999139705241e-05,2.2746070463085154e-10,4.8724712677085566e-14,5.162819712654289e-28,5.223883653641327e-06,9.601501673873353e-13,6.475214396963134e-09,0.0,0.0,0.0,0.0,0.28485340536931364,-7.022054548448323,2505651964.4170275,338.65079872436
0.0046718969861601,0.171793041941276,0.00026034507835923115,0.0005939666367248777,0.6429188756493289,0.154939667559465,0.0255916811041073,1.8231342432840278e-05,0.0,0.0,6.45083900148326e-11,3.8968697686769274e-08,8.4836759663347e-05,6.0095050052060984e-06,0.0004868138890619013,6.084185789005121e-28,0.0001662707721630283,7.733335826554419e-08,7.342337123804712e-10,0.0003308378041125882,0.0002282765750644894,0.0002125286066046179,0.001223210675429401,3.095179583510555e-08,2.164492623983544e-07,4.396858605732569e-06,2.8352406206163444e-09,0.000657908888692011,5.192286173131858e-06,2.360355136527555e-05,1.968483999344015e-05,5.442259590969157e-16,0.00032357117287399104,1.6370724736842194e-10,2.7171246081386835e-14,6.4819247488382375e-28,2.7636607182649246e-05,3.0362442785888996e-12,3.46735616875807e-08,0.0,0.0,0.0,0.0,0.2842503395615118,-7.051852061046511,2380636733.8488173,328.669503074444
0.0041049771265504,0.172314253427432,0.00024995741726573523,0.0001701556123933947,0.6421001915129371,0.1555874756554389,0.0258050600392629,1.5243149406227393e-05,0.0,0.0,3.4810710415030896e-11,5.2176227715942065e-08,8.80422383788896e-05,5.8328698110021866e-06,0.0003747741657908688,3.157642184379687e-28,0.00016470220762891837,7.230894378297113e-08,7.060086206737062e-10,0.0003170568787285684,0.0002229470375644321,0.00018884062133151628,0.0012297055101327203,3.14244359299014e-08,7.478238416030026e-08,2.8515155671526023e-06,1.975189823455092e-09,0.0004559090252628001,5.551924317318065e-06,2.174633922222874e-05,1.821998289471879e-05,3.0417428899075097e-16,0.00010680723349489109,1.0497953303322037e-10,1.3640184634866013e-14,4.8839668729233564e-29,7.432259562503532e-06,6.884427306725814e-13,9.521054657598603e-09,0.0,0.0,0.0,0.0,0.28605451529682385,-7.096309485730242,2422024978.437388,319.91866724130404
0.0036947792935046,0.172417537608474,0.00025855133980796956,0.00043680423437844027,0.641961965376959,0.155963824500346,0.0258696244840629,1.572961565185044e-05,0.0,0.0,2.3216503300002374e-11,5.0455946647553037e-08,9.22687366523322e-05,6.188370799660826e-06,0.0005154832810674456,1.5554957814314028e-28,0.00016289682303431506,6.966251496156646e-08,6.922036449051189e-10,0.000297813880255579,0.0002120351831630747,0.00021739931722203283,0.0011876249763973271,3.14773642283436e-08,1.8697798664974455e-07,3.4702764082313302e-06,1.6185012359373217e-09,0.0005779233794298982,5.899689007579542e-06,2.0359518310768816e-05,1.8749990367878448e-05,2.248041792086479e-16,0.00026655829851117516,8.838732029968641e-11,9.736736868128917e-15,5.17677246832658e-29,1.8270157818054496e-05,1.3111902316498933e-12,2.3607502379398794e-08,0.0,0.0,0.0,0.0,0.28556231356551287,-7.130396612573529,2489431498.715631,314.313400062274
0.0029255987463216,0.172924511233582,0.00024121984283890791,9.188727393921677e-05,0.6406640257852391,0.157474543214998,0.025921361347025,1.341396035428839e-05,0.0,0.0,1.782495873613419e-11,6.507442096611334e-08,8.995967283398599e-05,5.679517719932142e-06,0.00030832327659865945,1.2399326096281553e-28,0.00016122588298585232,6.599931575163634e-08,6.588901389942705e-10,0.0003002491592880455,0.0002156730869525712,0.00015962132014772228,0.001215835796519017,3.0900393948503135e-08,4.4280388944048966e-08,1.960668061374419e-06,1.3552881949019556e-09,0.0003316169149739128,5.826828163369666e-06,1.95093085652252e-05,1.6747681022979e-05,1.6286514053418107e-16,6.150554588617726e-05,6.98822890892105e-11,6.959190317763183e-15,6.200491647902375e-30,3.7290858074496803e-06,2.462133802157125e-13,4.865323529918612e-09,0.0,0.0,0.0,0.0,0.286204396638962,-7.141667287045616,2421611016.0704885,311.019909033219
