index,p_init,p_pred,delta,gbar_end
63,1.0956569276286768e-8,7.529535559337478e-9,-3.4270337169492904e-9,-3.377664153951784e-8
64,-6.210401915854467e-12,-4.9504640071527634e-12,1.2599379087017037e-12,3.809038244176992e-9
65,-2.0561906607708267e-8,-9.419947747131485e-9,1.1141958860576782e-8,5.5394607441979795e-6
66,-2.642901627831252e-7,1.472649819597116e-7,4.115551447428368e-7,1.3914484665039321e-5
67,-0.00026770596228815625,-0.00020746060354832264,6.0245358739833605e-5,2.678564584751917e-5
68,-0.003353255093697569,-0.0030063662988738925,0.00034688879482367655,0.0005016914589134739
69,-0.0006958009272024276,-0.0006205663897626252,7.523453743980238e-5,9.57191825324612e-5
70,1.8547205839452644e-5,1.3315135141041441e-5,-5.232070698411203e-6,-9.816889775062264e-6
71,0.09101460683901247,0.09411805197536267,0.0031034451363502052,0.0005818605521573056
72,0.006855430274071761,0.005446278735742957,-0.0014091515383288043,0.00011429804151862154
73,0.02312553529548661,0.017409253764492965,-0.005716281530993645,-0.000607243306004573
74,-0.07286832383475784,-0.06803466256701418,0.0048336612677436636,0.0015506450799219105
75,0.05631736977633042,0.05047649683613847,-0.005840872940191956,1.9296509943371126e-5
76,0.05529706512134324,0.04043902370293534,-0.014858041418407901,0.0004322451037927251
77,0.000326748294525387,0.0002887354268734493,-3.801286765193774e-5,-2.0468665107860065e-5
78,-0.18386720390421876,-0.16936370684394986,0.014503497060268905,-0.0006545864990663518
79,-0.00030209181191304774,-1.427226345476293e-5,0.0002878195484582848,-0.0037698283536126004
80,8.345836867420238e-6,7.305727501072659e-6,-1.040109366347579e-6,-0.0016271794261635835
81,-0.15548204117247763,-0.1341592413782468,0.021322799794230823,-0.0133906603937602
82,0.15124673010167206,0.12907199920225756,-0.02217473089941449,-0.00048295302143267844
83,7.229967325736369e-7,3.9984683524548055e-7,-3.231498973281563e-7,4.2129431356269924e-7
84,0.0268312668458408,0.019558529981382307,-0.007272736864458493,0.000778375609804939
85,3.1447603013794005e-7,2.5773615351638675e-7,-5.67398766215533e-8,-2.485048939653262e-7
86,-0.00020225432221692143,-0.00020569479711880656,-3.4404749018851315e-6,-0.001050585109286236
87,2.4912407771827838e-5,2.2511622315248502e-5,-2.4007854565793355e-6,-3.088852669889784e-5
88,1.7223249329126264e-6,1.5399817203295062e-6,-1.8234321258312012e-7,-1.0653593054451572e-6
89,1.792077393895275e-5,1.5672793530243127e-5,-2.2479804087096243e-6,-3.731241663771242e-5
90,-2.2100998275311293e-14,1.304600403361514e-14,3.5147002308926435e-14,0.0003671130817477557
91,-1.868789807368598e-12,2.6138631763831616e-13,2.1301761250069142e-12,0.00029736287946583774
92,-1.1579399178613136e-5,-4.471068027887549e-6,7.108331150725588e-6,0.006258651273955388
93,-3.309650381772638e-6,-1.2648167649983177e-6,2.0448336167743205e-6,0.0016530393996731577
94,-1.0185256630985789e-7,-5.2523975456683726e-8,4.932859085317417e-8,0.0004832491991908236
95,-0.013234794247906237,-0.008672303598893798,0.004562490649012438,0.0018591450054152368
96,-0.06592958720536016,-0.049903966065426866,0.01602562113993329,-0.004196234154327799
97,-0.13792407997477876,-0.11663793566509888,0.021286144309679886,-0.011798195692028807
98,0.0481121514970624,0.03758135803606202,-0.01053079346100038,-0.0048018634882870245
99,-0.043768243170615256,-0.03678830733302058,0.006979935837594674,7.3245933861619e-5
100,3.6671381392241537e-6,3.2036764034181166e-6,-4.6346173580603707e-7,0.00037708048170138946
101,-4.57472435238444e-5,-2.2021719901786094e-5,2.3725523622058308e-5,0.000230779074954079
102,-8.07285514226776e-9,-3.062746626251732e-9,5.010108516016028e-9,2.0997678615371846e-5
103,-2.8362996796774907e-10,-1.256445730909847e-10,1.5798539487676436e-10,1.2411472496572858e-6
104,-6.917658736604606e-5,-5.840495096018321e-5,1.0771636405862852e-5,7.762867254985199e-5
105,-0.00010556255250787367,-8.822437118634577e-5,1.7338181321527904e-5,0.000152820006156093
